key,name,built_form_category,du_per_acre,pop_per_acre,hh_per_acre,emp_per_acre,du_detsf_sl_per_acre,du_detsf_ll_per_acre,du_attsf_per_acre,du_mf2to4_per_acre,du_mf5p_per_acre,emp_ret_per_acre,emp_off_per_acre,emp_pub_per_acre,emp_ind_per_acre,emp_ag_per_acre,intersection_density,building_sqft_per_acre,footprint_ratio,max_levels,area_parcel_res,area_parcel_emp,area_parcel_mixed_use,is_active
bt__urban_public_library,Urban Public Library,Civic/Institutional,0.0,0.0,0.0,52.40268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.40268,0.0,0.0,0.0,15720.804,0.0,1,0.0,0.0,0.0,TRUE
bt__urban_courthouse,Urban Courthouse,Civic/Institutional,0.0,0.0,0.0,75.0939552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0939552,0.0,0.0,0.0,22528.18656,0.0,1,0.0,0.0,0.0,TRUE
bt__urban_convention_center,Urban Convention Center,Civic/Institutional,0.0,0.0,0.0,67.20672705,0.0,0.0,0.0,0.0,0.0,12.83338618,0.0,54.37334087,0.0,0.0,0.0,23491.0367998,0.0,1,0.0,0.0,0.0,TRUE
bt__suburban_civic_complex,Suburban Civic Complex,Civic/Institutional,0.0,0.0,0.0,7.857601714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.857601714,0.0,0.0,0.0,5500.3212,0.0,1,0.0,0.0,0.0,TRUE
bt__town_civic_complex,Town Civic Complex,Civic/Institutional,0.0,0.0,0.0,16.6617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6617,0.0,0.0,0.0,11663.19,0.0,1,0.0,0.0,0.0,TRUE
bt__town_branch_library,Town/Branch Library,Civic/Institutional,0.0,0.0,0.0,27.71907619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.71907619,0.0,0.0,0.0,19403.35333,0.0,1,0.0,0.0,0.0,TRUE
bt__religious_center,Religious Center,Civic/Institutional,0.5,0.0,0.46825,50.9924643,0.5,0.0,0.0,0.0,0.0,3.533945268,47.45851903,0.0,0.0,0.0,0.0,19403.3533312,0.0,1,0.0,0.0,0.0,TRUE
bt__airport,Airport,Civic/Institutional,0.0,0.0,0.0,25.59082892,0.0,0.0,0.0,0.0,0.0,9.87654321,10.71428571,0.0,5.0,0.0,0.0,15000.0,0.0,1,0.0,0.0,0.0,TRUE
bt__detention_utilities,Detention/Utilities,Civic/Institutional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,TRUE
bt__park,Park,Open Space,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,TRUE
bt__mobile_home_park,Mobile Home Park,Residential,8.0,15.04,7.52,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,TRUE
bt__military,Military,Military,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,TRUE
bt__urban_civic,Urban Civic,Civic/Institutional,0.0,0.0,0.0,75.0939552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0939552,0.0,0.0,0.0,22528.18656,0.0,1,0.0,0.0,0.0,TRUE
bt__non_urban_civic,Non-Urban Civic,Civic/Institutional,0.0,0.0,0.0,38.8773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.8773,0.0,0.0,0.0,11663.19,0.0,1,0.0,0.0,0.0,TRUE
bt__duplex,Duplex,Open Space,8.0,16.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,1,1.0,0.0,0.0,TRUE
bt__blank,Blank,Blank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,TRUE
bt__high_rise_mixed_use_alt,High-Rise Mixed Use Alt,Commercial/Retail,69.81871284,104.9432854,65.38522458,928.7448033,0.0,0.0,0.0,69.81871284,0.0,185.4910171,743.2537861,0.0,0.0,0.0,0.0,362823.820081,0.4,1,0.0,0.4,0.8,TRUE
bt__golf_course,Golf Course,Open Space,0.0,0.0,0.0,0.114942529,0.0,0.0,0.0,0.0,0.0,0.114942529,0.0,0.0,0.0,0.0,0.0,50.000000002,0.0,1,0.0,0.0,0.0,TRUE
bt__commercial_recreation_facility,Commercial Recreation Facility,Commercial/Retail,0.0,0.0,0.0,14.08450704,0.0,0.0,0.0,0.0,0.0,14.08450704,0.0,0.0,0.0,0.0,0.0,9999.9999993,1.0,1,0.0,1.0,0.0,TRUE
bt__emergency_services,Emergency Services,Civic/Institutional,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,14700.0,0.0,1,0.0,0.0,0.0,TRUE
bt__correctional_facility,Correctional Facility,Civic/Institutional,0.0,35.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,0.0,0.0,0.0,12500.0,0.0,1,0.0,0.0,0.0,TRUE
bt__parking_surface_lot,Surface Parking,Vacant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,TRUE
bt__transit_station,Transit Station,Civic/Institutional,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,3000.0,0.0,1,0.0,0.0,0.0,TRUE
bt__transportation_facility,Transportation Facility,Commercial/Retail,0.0,0.0,0.0,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666667,0.0,0.0,200.0,1.0,1,0.0,1.0,0.0,TRUE
bt__communications_facility,Communications Facility,Infrastructure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,TRUE
bt__extraction,Extraction,Vacant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,TRUE
bt__commercial_storage,Commercial Storage,Commercial/Retail,0.0,0.0,0.0,20.40816327,0.0,0.0,0.0,0.0,0.0,20.40816327,0.0,0.0,0.0,0.0,0.0,59999.999997,1.0,1,0.0,1.0,0.0,TRUE
bt__daycare,Daycare,Commercial/Retail,0.0,0.0,0.0,13.46153846,0.0,0.0,0.0,0.0,0.0,13.46153846,0.0,0.0,0.0,0.0,0.0,8750.0,1.0,1,0.0,1.0,0.0,TRUE
bt__mental_health_facility,Mental Health Facility,Civic/Institutional,0.0,0.0,0.0,53.84615385,0.0,0.0,0.0,0.0,0.0,53.84615385,0.0,0.0,0.0,0.0,0.0,35000.0,0.0,1,0.0,0.0,0.0,TRUE
bt__group_quarters,Group Quarters,Residential,0.0,40.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,1500.0,0.0,1,1.0,0.0,0.0,TRUE
bt__cemetery,Cemetery,Civic/Institutional,0.0,0.0,0.0,0.091954023,0.0,0.0,0.0,0.0,0.0,0.091954023,0.0,0.0,0.0,0.0,0.0,40.0,0.0,1,0.0,0.0,0.0,TRUE
bt__vacant,Vacant,Vacant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,TRUE
bt__right_of_way,Right of Way,Vacant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,TRUE
bt__vacant_subdivided,Vacant-Subdivided,Blank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,TRUE
bt__under_construction,Under Construction,Vacant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,TRUE
bt__water,Water,Open Space,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,TRUE
bt__open_space,Open Space,Open Space,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,TRUE
bt__blank,Blank,Blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,TRUE
bt__open_space,Open Space,Open Space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,TRUE
